"","game","Point","Our score at pull","Opponent's score at pull","Started on offense?","Scored?","Possessions","Passes","Turnovers","Thrower errors","Receiver errors","Defensive blocks","Opposition errors","Secondary assist","Assist","Goal"
"50","CUT 2025-02-02_09-50",21,9,11,1,1,1,6,0,0,0,0,0,"Calan Kirkpatrick","Carter Hawkins","Gavin Abrahamson"
"51","CUT 2025-02-02_09-50",22,10,11,0,0,0,0,0,0,0,0,0,NA,NA,NA
"52","CUT 2025-02-02_09-50",23,10,12,1,0,1,2,1,1,0,0,0,NA,NA,NA
"53","CUT 2025-02-02_09-50",24,10,13,1,0,0,0,0,0,0,0,0,NA,NA,NA
"54","Florida 2025-01-31_15-20",1,0,0,1,1,2,7,1,1,0,0,1,"Gavin Abrahamson","Luca Harwood","Ethan Lieman"
"55","Florida 2025-01-31_15-20",2,1,0,0,1,1,5,0,0,0,1,0,"Wes K-H","Charlie Leightheiser","Leo Narbonne"
"56","Florida 2025-01-31_15-20",3,2,0,0,1,2,17,1,0,1,1,1,NA,"Artie Aucoin","Mason Stone"
"57","Florida 2025-01-31_15-20",4,3,0,0,0,1,3,1,0,1,1,0,NA,NA,NA
"58","Florida 2025-01-31_15-20",5,3,1,1,1,2,6,1,1,0,0,1,NA,"Caelan McSweeney","Luca Harwood"
"59","Florida 2025-01-31_15-20",6,4,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"60","Florida 2025-01-31_15-20",7,4,2,1,1,1,3,0,0,0,0,0,"Luca Harwood","Mason Stone","Shiff Burt"
"61","Florida 2025-01-31_15-20",8,5,2,0,1,1,6,0,0,0,1,0,"Calan Kirkpatrick","Taylor Hanson","Wes K-H"
"62","Florida 2025-01-31_15-20",9,6,2,0,1,1,1,0,0,0,0,1,NA,"Artie Aucoin","Nadav Berkman"
"63","Florida 2025-01-31_15-20",10,7,2,0,0,1,6,1,0,1,0,1,NA,NA,NA
"64","Florida 2025-01-31_15-20",11,7,3,1,1,5,13,4,3,1,4,0,"Griffin Gee","Mason Stone","Griffin Gee"
"65","Florida 2025-01-31_15-20",12,8,3,0,1,1,6,0,0,0,1,0,"Ian Buchanon","Artie Aucoin","Sam Green"
"66","Florida 2025-01-31_15-20",13,9,3,0,1,1,13,0,0,0,0,1,"Toby Paperno","Ethan Lieman","Toby Paperno"
"67","Florida 2025-01-31_15-20",14,10,3,0,1,2,16,1,0,1,0,2,"Gavin Abrahamson","Wes K-H","Sam Green"
"68","Florida 2025-01-31_15-20",15,11,3,0,1,1,7,0,0,0,1,0,"Taylor Hanson","Charlie Leightheiser","Taylor Hanson"
"69","Florida 2025-01-31_15-20",16,12,3,0,1,1,3,0,0,0,0,1,"Jonathan Coombs","Wes K-H","Tomo Liou"
"70","Florida 2025-01-31_15-20",17,13,3,0,0,0,0,0,0,0,0,0,NA,NA,NA
"71","Georgia 2025-01-31_13-30",1,0,0,1,1,1,9,0,0,0,0,0,"Carter Hawkins","Luca Harwood","Ethan Lieman"
"72","Georgia 2025-01-31_13-30",2,1,0,0,0,1,4,1,1,0,0,1,NA,NA,NA
"73","Georgia 2025-01-31_13-30",3,1,1,1,0,1,8,1,1,0,0,0,NA,NA,NA
"74","Georgia 2025-01-31_13-30",4,1,2,1,1,1,9,0,0,0,0,0,"Mason Stone","Artie Aucoin","Ethan Lieman"
"75","Georgia 2025-01-31_13-30",5,2,2,0,1,1,2,0,0,0,0,1,"Artie Aucoin","Leo Narbonne","Sam Green"
"76","Georgia 2025-01-31_13-30",6,3,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
"77","Georgia 2025-01-31_13-30",7,3,3,1,1,1,8,0,0,0,0,0,"Roan Dunkerley","Gavin Abrahamson","Roan Dunkerley"
"78","Georgia 2025-01-31_13-30",8,4,3,0,0,0,0,0,0,0,0,0,NA,NA,NA
"79","Georgia 2025-01-31_13-30",9,4,4,1,1,2,43,1,1,0,1,0,"Shiff Burt","Luca Harwood","Roan Dunkerley"
"80","Georgia 2025-01-31_13-30",10,5,4,0,0,1,1,1,1,0,1,0,NA,NA,NA
"81","Georgia 2025-01-31_13-30",11,5,5,1,0,2,7,2,2,1,0,1,NA,NA,NA
"82","Georgia 2025-01-31_13-30",12,5,6,1,1,1,7,0,0,0,0,0,"Luca Harwood","Caelan McSweeney","Ethan Lieman"
"83","Georgia 2025-01-31_13-30",13,6,6,0,0,1,6,1,1,0,0,1,NA,NA,NA
"84","Georgia 2025-01-31_13-30",14,6,7,0,1,2,17,1,1,0,1,1,"Caelan McSweeney","Shiff Burt","Nima Lhamo"
"85","Georgia 2025-01-31_13-30",15,7,7,0,0,0,0,0,0,0,0,0,NA,NA,NA
"86","Georgia 2025-01-31_13-30",16,7,8,1,1,2,6,1,1,0,1,0,"Shiff Burt","Caelan McSweeney","Gavin Abrahamson"
"87","Georgia 2025-01-31_13-30",17,8,8,0,0,0,0,0,0,0,0,0,NA,NA,NA
"88","Georgia 2025-01-31_13-30",18,8,9,1,1,1,7,0,0,0,0,0,"Ethan Lieman","Caelan McSweeney","Ethan Lieman"
"89","Georgia 2025-01-31_13-30",19,9,9,0,0,2,3,2,2,0,2,0,NA,NA,NA
"90","Georgia 2025-01-31_13-30",20,9,10,1,1,2,10,1,1,0,0,1,"Carter Hawkins","Luca Harwood","Caelan McSweeney"
