"","game","point","possession","Thrower","Receiver","Turnover?","Thrower error?","Receiver error?","Throw to endzone?","Assist?","Secondary assist?","Huck?","Swing?","Dump?","From sideline?","To sideline?","Distance (m)","Forward distance (m)","Left-to-right distance (m)","pass.start.x","pass.start.y","pass.end.x","pass.end.y","possessionID","Started point on offense?","Scored?","possession.start.x","possession.start.y","Initiator","Passes","Secondary assist","Assist","Goal","Thrower error","Receiver error","Stalled out","line","passes"
"13","Carleton 2025-03-02_10-00",1,1,"Ethan Lieman","Griffin Gee",0,0,0,"1",1,0,0,0,0,1,0,14.191543,10.078124,-9.991561,0.116033755,0.2294034,0.38607594,0.1377841,"Carleton 2025-03-02_10-00-1-1",1,"1",0.43459916,0.6193182,"Caelan McSweeney",13,"Caelan McSweeney","Ethan Lieman","Griffin Gee",NA,NA,NA,"oline","(10,15]"
"14","Carleton 2025-03-02_10-00",3,1,"Carter Hawkins","Shiff Burt",0,0,0,"0",0,0,0,0,1,0,0,14.839368,-12.265626,-8.352321,0.20042194,0.62571025,0.42616034,0.73721594,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"15","Carleton 2025-03-02_10-00",3,1,"Shiff Burt","Caelan McSweeney",0,0,0,"0",0,0,0,0,0,0,0,8.659963,8.046878,-3.2004223,0.42616034,0.73721594,0.51265824,0.6640625,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"16","Carleton 2025-03-02_10-00",3,1,"Caelan McSweeney","Roan Dunkerley",0,0,0,"0",0,0,0,0,0,0,0,10.624168,5.15625,-9.289028,0.51265824,0.6640625,0.76371306,0.6171875,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"17","Carleton 2025-03-02_10-00",3,1,"Roan Dunkerley","Mason Stone",0,0,0,"0",0,0,0,0,0,0,0,11.55882,11.250002,-2.6540084,0.76371306,0.6171875,0.835443,0.51491475,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"18","Carleton 2025-03-02_10-00",3,1,"Mason Stone","Caelan McSweeney",0,0,0,"0",0,0,0,1,0,0,0,12.70746,-2.3437495,12.48945,0.835443,0.51491475,0.4978903,0.53622156,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"19","Carleton 2025-03-02_10-00",3,1,"Caelan McSweeney","Griffin Gee",0,0,0,"0",0,0,0,0,0,0,0,16.249088,12.499998,10.381856,0.4978903,0.53622156,0.21729958,0.42258522,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"20","Carleton 2025-03-02_10-00",3,1,"Griffin Gee","Carter Hawkins",0,0,0,"0",0,0,0,0,0,0,0,7.0644035,6.953124,1.2489451,0.21729958,0.42258522,0.18354431,0.359375,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"21","Carleton 2025-03-02_10-00",3,1,"Carter Hawkins","Shiff Burt",0,0,0,"0",0,0,0,1,0,0,0,12.178737,-4.687499,-11.240506,0.18354431,0.359375,0.48734176,0.40198863,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"22","Carleton 2025-03-02_10-00",3,1,"Shiff Burt","Carter Hawkins",0,0,0,"0",0,0,0,0,0,0,0,9.504479,2.3437495,9.21097,0.48734176,0.40198863,0.23839663,0.3806818,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"23","Carleton 2025-03-02_10-00",3,1,"Carter Hawkins","Luca Harwood",0,0,0,"0",0,0,0,1,0,0,1,23.87842,3.2812486,-23.6519,0.23839663,0.3806818,0.87763715,0.35085228,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"24","Carleton 2025-03-02_10-00",3,1,"Luca Harwood","Caelan McSweeney",0,0,0,"0",0,0,0,0,0,1,0,11.703177,9.531252,6.7911406,0.87763715,0.35085228,0.6940928,0.26420453,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"25","Carleton 2025-03-02_10-00",3,1,"Caelan McSweeney",NA,1,1,0,"1",0,0,0,0,0,0,0,25.646374,16.640625,19.514767,0.6940928,0.26420453,0.16666667,0.11292613,"Carleton 2025-03-02_10-00-3-1",1,"0",0.20042194,0.62571025,"Carter Hawkins",12,NA,NA,NA,"Caelan McSweeney",NA,NA,"oline","(10,15]"
"26","Carleton 2025-03-02_10-00",4,1,"Caelan McSweeney","Carter Hawkins",0,0,0,"0",0,0,0,1,0,0,0,12.158675,2.6562457,-11.864979,0.46413502,0.62215906,0.7848101,0.5980114,"Carleton 2025-03-02_10-00-4-1",1,"1",0.46413502,0.62215906,"Caelan McSweeney",7,"Roan Dunkerley","Ethan Lieman","Gavin Abrahamson",NA,NA,NA,"oline","(5,10]"
"27","Carleton 2025-03-02_10-00",4,1,"Carter Hawkins","Shiff Burt",0,0,0,"0",0,0,0,1,0,0,0,17.628332,6.484376,16.392406,0.7848101,0.5980114,0.34177214,0.5390625,"Carleton 2025-03-02_10-00-4-1",1,"1",0.46413502,0.62215906,"Caelan McSweeney",7,"Roan Dunkerley","Ethan Lieman","Gavin Abrahamson",NA,NA,NA,"oline","(5,10]"
"28","Carleton 2025-03-02_10-00",4,1,"Shiff Burt","Caelan McSweeney",0,0,0,"0",0,0,0,0,1,0,0,8.610491,-8.437502,-1.7172999,0.34177214,0.5390625,0.38818565,0.61576706,"Carleton 2025-03-02_10-00-4-1",1,"1",0.46413502,0.62215906,"Caelan McSweeney",7,"Roan Dunkerley","Ethan Lieman","Gavin Abrahamson",NA,NA,NA,"oline","(5,10]"
"29","Carleton 2025-03-02_10-00",4,1,"Caelan McSweeney","Gavin Abrahamson",0,0,0,"0",0,0,0,0,0,0,0,16.954844,12.187505,-11.78692,0.38818565,0.61576706,0.70675105,0.50497156,"Carleton 2025-03-02_10-00-4-1",1,"1",0.46413502,0.62215906,"Caelan McSweeney",7,"Roan Dunkerley","Ethan Lieman","Gavin Abrahamson",NA,NA,NA,"oline","(5,10]"
"30","Carleton 2025-03-02_10-00",4,1,"Gavin Abrahamson","Roan Dunkerley",0,0,0,"0",0,0,0,0,0,0,0,12.457138,12.42187,0.93670964,0.70675105,0.50497156,0.6814346,0.39204547,"Carleton 2025-03-02_10-00-4-1",1,"1",0.46413502,0.62215906,"Caelan McSweeney",7,"Roan Dunkerley","Ethan Lieman","Gavin Abrahamson",NA,NA,NA,"oline","(5,10]"
"31","Carleton 2025-03-02_10-00",4,1,"Roan Dunkerley","Ethan Lieman",0,0,0,"0",0,1,0,0,0,0,1,8.038277,3.9062512,-7.025318,0.6814346,0.39204547,0.871308,0.3565341,"Carleton 2025-03-02_10-00-4-1",1,"1",0.46413502,0.62215906,"Caelan McSweeney",7,"Roan Dunkerley","Ethan Lieman","Gavin Abrahamson",NA,NA,NA,"oline","(5,10]"
"32","Carleton 2025-03-02_10-00",4,1,"Ethan Lieman","Gavin Abrahamson",0,0,0,"1",1,0,0,0,0,1,0,20.981848,20.859375,2.263713,0.871308,0.3565341,0.8101266,0.1669034,"Carleton 2025-03-02_10-00-4-1",1,"1",0.46413502,0.62215906,"Caelan McSweeney",7,"Roan Dunkerley","Ethan Lieman","Gavin Abrahamson",NA,NA,NA,"oline","(5,10]"
"33","Carleton 2025-03-02_10-00",5,1,"Artie Aucoin","Toby Paperno",0,0,0,"0",0,0,0,0,1,0,0,6.4420333,-6.2500005,-1.5611817,0.4599156,0.6285511,0.5021097,0.6853693,"Carleton 2025-03-02_10-00-5-1",0,"0",0.4599156,0.6285511,"Artie Aucoin",7,NA,NA,NA,"Artie Aucoin",NA,NA,"dline","(5,10]"
"34","Carleton 2025-03-02_10-00",5,1,"Toby Paperno","Artie Aucoin",0,0,0,"0",0,0,0,0,0,0,0,8.303112,1.3281262,8.196203,0.5021097,0.6853693,0.2805907,0.67329544,"Carleton 2025-03-02_10-00-5-1",0,"0",0.4599156,0.6285511,"Artie Aucoin",7,NA,NA,NA,"Artie Aucoin",NA,NA,"dline","(5,10]"
"35","Carleton 2025-03-02_10-00",5,1,"Artie Aucoin","Shiff Burt",0,0,0,"0",0,0,0,1,0,0,0,18.170437,1.4843744,-18.109705,0.2805907,0.67329544,0.7700422,0.6598011,"Carleton 2025-03-02_10-00-5-1",0,"0",0.4599156,0.6285511,"Artie Aucoin",7,NA,NA,NA,"Artie Aucoin",NA,NA,"dline","(5,10]"
"36","Carleton 2025-03-02_10-00",5,1,"Shiff Burt","Artie Aucoin",0,0,0,"0",0,0,0,0,1,0,0,10.899989,-4.5312505,9.913502,0.7700422,0.6598011,0.5021097,0.7009943,"Carleton 2025-03-02_10-00-5-1",0,"0",0.4599156,0.6285511,"Artie Aucoin",7,NA,NA,NA,"Artie Aucoin",NA,NA,"dline","(5,10]"
