Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-01 11:52:11,7,Griffin Gee,0,0,0,0,0.5780591,0.74147725
2025-03-01 11:53:43,7,Carter Hawkins,0,0,0,0,0.36708862,0.77982956
2025-03-01 12:07:48,11,Artie Aucoin,0,0,0,0,0.25527427,0.7634943
2025-03-01 12:21:51,13,Gavin Abrahamson,0,0,0,0,0.73839664,0.5269886
2025-03-01 12:24:43,14,Calan Kirkpatrick,1,0,0,0,0.74261606,0.8089489
2025-03-01 12:26:19,14,Roan Dunkerley,0,0,0,0,0.23417722,0.6896307
2025-03-01 12:28:00,14,Sam Green,1,0,0,0,0.9177215,0.79971594
2025-03-01 12:43:24,18,Caelan McSweeney,0,0,0,0,0.11814346,0.3856534
2025-03-01 12:53:08,22,Shiff Burt,0,0,0,0,0.6814346,0.7698864
