Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-02-02 08:19:26,8,Toby Paperno,0,0,0,0,0.19831224,0.51420456
2025-02-02 08:21:58,9,Luca Harwood,0,0,0,0,0.34599155,0.6484375
2025-02-02 08:23:08,9,Leo Narbonne,0,0,0,0,0.44936708,0.31321022
2025-02-02 08:51:33,15,Toby Paperno,0,0,0,0,0.02742616,0.47230113
2025-02-02 09:08:57,19,Shiff Burt,0,0,0,0,0.0,0.453125
2025-02-02 09:15:22,22,Sam Green,0,0,0,0,0.407173,0.29829547
