Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-02-01 13:37:51,3,Taylor Hanson,0,0,0,0,0.74261606,0.31676137
2025-02-01 13:42:41,4,Gavin Abrahamson,0,0,0,0,0.6877637,0.6988636
2025-02-01 14:02:02,11,Toby Paperno,0,0,0,0,0.5316456,0.640625
2025-02-01 14:16:24,13,Calan Kirkpatrick,0,0,0,0,0.080168776,0.5276989
2025-02-01 14:27:18,16,Charlie Leightheiser,0,0,0,0,0.6919831,0.4794034
2025-02-01 14:27:59,16,Sam Green,0,0,0,0,0.45147678,0.78622156
2025-02-01 14:38:50,20,Leo Narbonne,0,0,0,0,0.35654008,0.39914772
