Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-02 10:14:55,5,Tomo Liou,0,0,0,0,0.43459916,0.5880682
2025-03-02 10:15:50,5,Shiff Burt,0,0,0,0,0.82067513,0.30610797
2025-03-02 10:18:06,6,Griffin Gee,0,0,0,0,0.5843882,0.4005682
2025-03-02 10:55:32,17,Wes K-H,1,0,0,0,0.48734176,0.83877844
2025-03-02 11:07:03,22,Sam Green,1,0,0,0,0.48945147,0.79190344
2025-03-02 11:08:23,22,Mason Stone,0,0,0,0,0.5527426,0.77272725
