Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-03-02 08:03:06,1,Roan Dunkerley,0,0,0,0,0.78691983,0.4893466
2025-03-02 08:10:35,4,Shiff Burt,0,0,0,0,0.9135021,0.5198864
2025-03-02 08:15:23,5,Gavin Abrahamson,0,0,0,0,0.8670886,0.60227275
2025-03-02 08:21:50,6,Shiff Burt,0,0,0,0,0.0,0.2911932
2025-03-02 08:31:29,9,Griffin Gee,0,0,0,0,0.9113924,0.48082387
2025-03-02 08:39:01,12,Ethan Lieman,0,0,0,0,0.38607594,0.40269887
2025-03-02 08:41:10,13,Tomo Liou,0,0,0,0,0.22362868,0.55610794
2025-03-02 08:50:50,14,Chaz Norris,0,0,0,0,0.09915612,0.63210225
2025-03-02 09:07:50,19,Artie Aucoin,0,0,0,0,0.008438818,0.51065344
