Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-01-31 11:48:05,3,Nima Lhamo,0,0,0,0,0.14345992,0.67045456
2025-01-31 11:49:33,3,Taylor Hanson,0,0,0,0,0.14767933,0.74715906
2025-01-31 11:50:47,3,,0,0,0,0,0.12236287,0.76633525
2025-01-31 12:16:15,8,Roan Dunkerley,0,0,0,0,0.74050635,0.40625
2025-01-31 12:17:12,8,Ian Buchanon,0,0,0,0,0.6877637,0.4715909
2025-01-31 12:21:47,9,Nima Lhamo,0,0,0,0,0.7151899,0.38636363
2025-01-31 12:28:22,11,Shiff Burt,0,0,0,0,0.6308017,0.37642047
